iter	Passed	Remaining
0	2	268
1	5	252
2	7	249
3	10	244
4	12	238
5	14	232
6	17	229
7	19	226
8	22	223
9	24	221
10	26	217
11	29	214
12	32	215
13	34	209
14	36	208
15	39	208
16	42	208
17	45	206
18	48	204
19	50	203
20	53	201
21	56	199
22	59	198
23	61	196
24	63	190
25	66	188
26	69	187
27	72	186
28	75	184
29	78	183
30	81	181
31	84	179
32	87	176
33	89	174
34	92	171
35	95	169
36	98	168
37	101	165
38	105	165
39	108	163
40	111	161
41	114	158
42	118	156
43	121	154
44	124	151
45	127	149
46	130	146
47	133	144
48	136	142
49	139	139
50	142	137
51	145	134
52	149	132
53	152	129
54	159	130
55	162	127
56	165	125
57	169	122
58	172	119
59	174	116
60	177	113
61	179	109
62	181	106
63	183	103
64	186	100
65	188	97
66	191	94
67	193	91
68	195	87
69	197	84
70	200	81
71	202	78
72	205	75
73	208	73
74	212	70
75	213	67
76	216	64
77	218	61
78	220	58
79	223	55
80	225	52
81	227	50
82	230	47
83	232	44
84	235	41
85	237	38
86	240	35
87	242	33
88	244	30
89	246	27
90	249	24
91	251	21
92	253	19
93	256	16
94	258	13
95	261	10
96	263	8
97	265	5
98	268	2
99	270	0
