iter	Logloss
0	0.6229549857
1	0.5676806955
2	0.5267487694
3	0.492665964
4	0.4676567526
5	0.4479973456
6	0.4291597254
7	0.4145355786
8	0.4012203217
9	0.388980585
10	0.3804288471
11	0.3724870121
12	0.3653492086
13	0.3584529652
14	0.3537829904
15	0.3485906825
16	0.3440682467
17	0.3398671992
18	0.3364671819
19	0.332445902
20	0.3299645817
21	0.3276265649
22	0.3257485558
23	0.3235721027
24	0.3216149947
25	0.3202182265
26	0.3189274564
27	0.3162252763
28	0.3148708063
29	0.3117166968
30	0.3095411974
31	0.307967747
32	0.3067064285
33	0.3050455206
34	0.302406844
35	0.300960653
36	0.2997763017
37	0.2984529383
38	0.2973683582
39	0.2943606377
40	0.2929361007
41	0.2919703652
42	0.2911007825
43	0.2898242614
44	0.288353359
45	0.2875302259
46	0.2866307707
47	0.2853546704
48	0.2842942687
49	0.2826867104
50	0.2820396984
51	0.2810530943
52	0.2802144499
53	0.2786296676
54	0.2772576949
55	0.2756545403
56	0.2748093044
57	0.2736934213
58	0.2724329444
59	0.2709660811
60	0.2694240458
61	0.2684981122
62	0.2665256893
63	0.2655939214
64	0.2646019319
65	0.2641863823
66	0.2636814398
67	0.2621857138
68	0.2616720761
69	0.260750434
70	0.2596824309
71	0.2588741078
72	0.2579680331
73	0.2572340965
74	0.2566873887
75	0.2554012747
76	0.2549774787
77	0.254441654
78	0.2540796504
79	0.2528415007
80	0.2522854525
81	0.2513281317
82	0.2506047698
83	0.250254014
84	0.2489209736
85	0.2479501051
86	0.2465739531
87	0.2459124397
88	0.2452785829
89	0.2445350254
90	0.2437122569
91	0.2425896701
92	0.2420014213
93	0.2415765314
94	0.2406845093
95	0.2391426423
96	0.2383204067
97	0.2370707848
98	0.2366270178
99	0.2358914263
