iter	Passed	Remaining
0	1	103
1	1	96
2	2	96
3	3	94
4	5	95
5	5	93
6	6	92
7	8	92
8	9	91
9	10	90
10	10	88
11	12	88
12	13	89
13	14	88
14	15	87
15	16	86
16	17	85
17	18	84
18	19	83
19	20	82
20	21	82
21	23	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
